Index Name,Index Date,Open Index Value,High Index Value,Low Index Value,Closing Index Value,Points Change,Change(%),Volume,Turnover (Rs. Cr.),P/E,P/B,Div Yield
Nifty500 Multifactor MQVLv 50,04-03-2026,31331.25,31388.7,30969.5,31126.0,-659.7,-2.08,325198194,15562.84,14.54,2.85,1.99
NIFTY Alpha Low-Volatility 30,04-03-2026,26411.75,26505.9,26222.9,26393.45,-500.15,-1.86,193119451,25021.43,31.29,4.67,.71
NIFTY50 Equal Weight,04-03-2026,32177.95,32219.45,31833.2,32008.75,-680.45,-2.08,598993881,47700.19,24.26,3.64,1.35
Nifty500 Equal Weight,04-03-2026,13304.3,13308.45,13122.95,13203.4,-302.6,-2.24,3229119573,112282.36,24.46,3.44,.96
Nifty 50 Futures Index,04-03-2026,-,-,-,6158.16,-99.57,-1.59,-,-,-,-,-
Nifty 50 Arbitrage,04-03-2026,-,-,-,2645.96,0.99,.04,-,-,-,-,-
Nifty 50 Futures TR Index,04-03-2026,-,-,-,26147.38,-413.91,-1.56,-,-,-,-,-
Nifty 8-13 yr G-Sec,04-03-2026,2993.35,2993.37,2984.09,2992.07,-0.75,-.03,-,-,-,-,-
Nifty 4-8 yr G-Sec Index,04-03-2026,3264.72,3264.72,3259.43,3263.64,-0.5,-.02,-,-,-,-,-
Nifty 11-15 yr G-Sec Index,04-03-2026,3270.15,3270.15,3258.88,3265.59,-3.94,-.12,-,-,-,-,-
Nifty 15 yr and above G-Sec Index,04-03-2026,3503.32,3503.32,3475.03,3482.28,-20.34,-.58,-,-,-,-,-
Nifty Composite G-sec Index,04-03-2026,3075.24,3075.24,3065.2,3072.08,-2.6,-.08,-,-,-,-,-
Nifty 10 yr Benchmark G-Sec,04-03-2026,2629.98,2629.99,2621.12,2629.11,-0.41,-.02,-,-,-,-,-
Nifty 10 yr Benchmark G-Sec (Clean Price),04-03-2026,887.35,887.35,884.28,887.05,-0.3,-.03,-,-,-,-,-
Nifty BHARAT Bond Index - April 2030,04-03-2026,1575.91,1575.91,1573.1,1573.1,-2.5,-.16,-,-,-,-,-
Nifty BHARAT Bond Index - April 2031,04-03-2026,1431.72,1431.72,1429.35,1429.35,-2.1,-.15,-,-,-,-,-
Nifty BHARAT Bond Index - April 2032,04-03-2026,1301.92,1301.93,1300.48,1300.48,-1.2,-.09,-,-,-,-,-
Nifty BHARAT Bond Index - April 2033,04-03-2026,1263.98,1263.98,1262.92,1262.92,-0.82,-.06,-,-,-,-,-
Nifty 1D Rate Index,04-03-2026,-,-,-,2532.64,0.67,.03,-,-,-,-,-
Nifty50 USD,04-03-2026,9418.55,9418.55,9072.25,9205.34,-213.2,-2.26,-,-,-,-,-
